
PO1	PO2	PO3	PO4	PO5	PO6	PO7	PO8	PO9	PO10	PO11	PO12
---------------------------------------------------------------------------------------------
0,0,0,0,214,223,0,0,0,0,62,39,
5,105,142,135,214,223,0,89,0,71,62,39,
11,225,277,272,214,223,0,160,0,116,62,39,
4,81,100,99,213,223,0,40,0,23,62,39,
0,0,0,0,214,223,0,0,0,0,62,39,
1,17,29,36,214,223,0,24,0,18,62,39,
11,178,245,229,214,223,0,140,0,104,62,39,
9,202,253,242,214,223,0,119,0,83,62,39,
1,0,0,2,214,223,0,0,0,0,62,39,
0,0,0,0,214,223,0,0,0,0,62,39,
4,63,94,96,214,223,0,64,0,47,62,39,
11,221,291,277,214,223,0,158,0,113,62,39,
6,141,192,176,214,223,0,70,0,45,62,39,
0,0,0,0,214,223,0,0,0,0,62,39,
1,0,0,1,214,223,0,2,0,4,63,39,
6,124,173,165,214,223,0,107,0,81,62,39,
12,219,274,268,214,223,0,149,0,107,63,39,
3,43,56,59,214,223,0,12,0,0,63,39,
0,0,0,0,213,223,0,0,0,0,63,39,
1,31,46,47,214,223,0,37,0,29,63,39,
11,197,274,256,214,223,0,151,0,110,63,39,
6,177,227,213,214,223,0,104,0,70,63,39,
1,0,0,0,214,223,0,0,0,0,63,39,
0,0,0,0,214,223,0,0,0,0,63,39,
5,88,121,119,214,223,0,78,0,59,63,39,
12,227,277,272,214,223,0,162,0,116,63,39,
5,102,129,121,214,223,0,50,0,29,63,39,
0,0,0,0,214,223,0,0,0,0,63,39,
1,9,21,28,214,223,0,22,0,17,63,39,
9,161,223,213,213,223,0,130,0,97,63,39,
9,218,271,265,213,223,0,140,0,92,63,39,
1,0,0,14,214,224,0,0,0,0,62,39,
0,0,0,0,214,223,0,0,0,0,63,39,
2,55,85,85,214,223,0,60,0,44,63,39,
12,216,291,275,214,223,0,163,0,116,63,39,
6,153,200,191,214,223,0,84,0,52,63,39,
0,0,0,0,214,223,0,0,0,0,63,39,
1,0,0,0,214,223,0,1,0,2,63,39,
4,112,155,150,214,223,0,98,0,73,63,39,
9,228,278,273,214,223,0,162,0,114,63,39,
3,64,83,85,214,223,0,32,0,14,63,39,
0,0,0,0,213,223,0,0,0,0,63,39,
1,24,37,41,214,223,0,35,0,24,63,39,
11,184,256,239,214,223,0,145,0,105,63,39,
8,202,249,236,213,223,0,117,0,79,63,39,
1,0,0,1,214,223,0,0,0,0,63,39,
0,0,0,0,214,223,0,0,0,0,63,39,
5,77,110,107,213,223,0,72,0,53,63,39,
8,226,288,285,214,223,0,166,0,119,63,39,
7,126,164,152,214,223,0,62,0,39,63,39,
0,0,0,0,214,223,0,0,0,0,63,39,
0,0,8,18,214,223,0,17,0,12,63,39,
8,147,201,192,214,223,0,119,0,89,63,39,
8,223,275,270,214,223,0,154,0,104,63,39,
2,26,26,36,213,223,0,3,0,0,63,39,
2,0,0,0,214,223,0,0,0,0,63,39,
3,43,64,67,213,223,0,49,0,36,63,39,
9,208,291,271,214,223,0,159,0,115,63,39,
7,168,214,208,213,223,0,100,0,66,63,39,
2,0,0,0,213,223,0,0,0,0,63,39,
2,0,0,0,213,223,0,0,0,0,63,39,
7,97,136,133,214,223,0,87,0,65,63,39,
11,231,280,276,214,223,1,167,0,117,63,39,
6,86,107,103,214,223,0,44,0,24,63,39,
0,0,0,0,213,223,0,0,0,0,63,39,
2,20,35,39,214,223,0,29,0,20,63,39,
8,171,236,223,214,223,0,138,0,103,63,39,
11,215,262,253,213,223,0,127,0,85,63,39,
2,0,0,6,214,223,0,0,0,0,63,39,
0,0,0,0,213,223,0,0,0,0,63,39,
4,65,94,94,214,223,0,63,0,47,63,39,
13,221,291,279,214,223,0,168,0,119,63,39,
6,143,187,179,214,223,0,79,0,49,63,39,
0,0,0,0,214,223,0,0,0,0,63,39,
0,0,0,4,214,223,0,0,0,6,63,39,
6,120,168,161,214,223,0,0,0,71,63,39,
10,225,275,272,213,223,0,0,0,103,63,39,
3,58,69,72,214,223,0,0,0,9,63,39,
0,0,0,0,214,223,0,0,0,0,63,39,
3,25,39,41,214,223,0,0,0,21,63,39,
9,184,256,237,213,223,0,0,0,97,63,39,
10,193,250,238,214,223,0,0,0,77,63,39,
1,0,0,4,214,223,0,0,0,0,63,39,
1,0,0,0,214,223,0,0,0,0,63,39,
4,58,85,88,214,223,0,0,0,42,63,39,
8,217,287,275,214,223,0,0,0,106,63,39,
10,147,200,185,214,223,0,0,0,49,63,39,
0,0,0,0,214,223,0,0,0,0,63,39,
0,0,0,0,214,223,0,0,0,2,63,39,
6,110,157,148,213,223,0,0,0,69,63,40,
10,220,276,270,214,223,0,0,0,101,63,40,
4,68,88,85,214,224,0,0,0,13,63,40,
0,0,0,0,214,223,0,0,0,0,63,40,
